state,type,portal,project_id,project_name,bid_due_date,document_url,file_name,file_size,spec_format,divisions,gcs_path,retrieved_date,status
Alaska,Vertical,alaska_vertical,,Snowden Administration Building Facade                                                         &nbs...,,https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx?id=163202,Attachment.aspx?id=163202,1094921,CSI,02;03;07;08;09,gs://specindex-ai-raw-documents/specs/ALASKA/unknown/specbook_Attachment.aspx-id-163202.pdf,2026-08-07,downloaded
Alaska,Vertical,alaska_vertical,,Snowden Administration Building Facade                                                         &nbs...,,https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx?id=163229,Attachment.aspx?id=163229,149050,,,,2026-08-07,downloaded
Alaska,Vertical,alaska_vertical,,Snowden Administration Building Facade                                                         &nbs...,,https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx?id=163298,Attachment.aspx?id=163298,142719,,,,2026-08-07,downloaded
Alaska,Vertical,alaska_vertical,,Snowden Administration Building Facade                                                         &nbs...,,https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx?id=163201,Attachment.aspx?id=163201,13026251,,,,2026-08-07,downloaded
Alaska,Vertical,alaska_vertical,,Snowden Administration Building Facade                                                         &nbs...,,https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx?id=163203,Attachment.aspx?id=163203,279421,,,,2026-08-07,downloaded
Alaska,Vertical,alaska_vertical,,Snowden Administration Building Facade                                                         &nbs...,,https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx?id=163204,Attachment.aspx?id=163204,1058596,CSI,00;01,gs://specindex-ai-raw-documents/specs/ALASKA/unknown/specbook_Attachment.aspx-id-163204.pdf,2026-08-07,downloaded
Alaska,Vertical,alaska_vertical,,Snowden Administration Building Facade                                                         &nbs...,,https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx?id=163299,Attachment.aspx?id=163299,131883,,,,2026-08-07,downloaded
Alaska,Vertical,alaska_vertical,,Fivemile Hydroelectric - Phase 1 Construction The Work under this Contract consists of the construction of a pioneer roa,,https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx?id=163254,Attachment.aspx?id=163254,8924067,CSI,00;01;02;31;40,gs://specindex-ai-raw-documents/specs/ALASKA/unknown/specbook_Attachment.aspx-id-163254.pdf,2026-08-07,downloaded
Alaska,Vertical,alaska_vertical,,Fivemile Hydroelectric - Phase 1 Construction The Work under this Contract consists of the construction of a pioneer roa,,https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx?id=163300,Attachment.aspx?id=163300,106299,,,,2026-08-07,downloaded
Alaska,Vertical,alaska_vertical,ADA-09745,"ADA-09745 Sealed Bid Offering - Proposal to Lease State Airport Land at Kodiak Airport In accordance with 17 AAC 45.300,",,https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx?id=163324,Attachment.aspx?id=163324,864554,unreadable,,,2026-08-07,unreadable format
Alaska,Vertical,alaska_vertical,,Regulatory Commission of Alaska: Notice of Utility Tariff Filing (ENSTAR) Notice of Utility Tariff FilingThe REGULATORY ,,https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx?id=163287,Attachment.aspx?id=163287,125212,,,,2026-08-07,downloaded
Alaska,Vertical,alaska_vertical,,Palmer Courthouse Janitorial ITB The Alaska Court System is seeking bids for a new janitorial contract for the Palmer Co,,https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx?id=163259,Attachment.aspx?id=163259,651922,,,,2026-08-07,downloaded
Alaska,Vertical,alaska_vertical,,"ITB 2527H058 Beaver Rural Airport Maintenance The Department of Transportation and Public Facilities, Division of Progra",,https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx?id=163258,Attachment.aspx?id=163258,1449546,,,,2026-08-07,downloaded
Alaska,Vertical,alaska_vertical,,RFP 2027-1200-0020 Applicant Medical Examinations Point of Contact:ITB documents and all questions should be directed to,,https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx?id=163251,Attachment.aspx?id=163251,4368542,,,,2026-08-07,downloaded
Alaska,Vertical,alaska_vertical,,ITB TITLE: 2527H032 Chenega Bay Rural Airport Maintenance 2527H032 ITB TITLE: 2527H032 Chenega Bay Rural Airport Mainten,,https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx?id=163212,Attachment.aspx?id=163212,2281985,,,,2026-08-07,downloaded
Alaska,Vertical,alaska_vertical,,Request for Public Comment - City of Fairbanks Systemic Signal Uprades Stage 2 Request for Public CommentCity of Fairban,,https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx?id=163186,Attachment.aspx?id=163186,1041191,unreadable,,,2026-08-07,unreadable format
Alaska,Vertical,alaska_vertical,,"ITB 2527H027 AMHS Lands&#39; End Uniforms The Department of Transportation and Public Facilities (DOT&amp;PF), through i",,https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx?id=163195,Attachment.aspx?id=163195,914768,,,,2026-08-07,downloaded
Arkansas,DOT,arkansas_dot,030531,030531,,https://media.ark.org/ardot/030531_2-proposal.pdf,030531_2-proposal.pdf,9659794,DOT SS/SP,,gs://specindex-ai-raw-documents/specs/ARKANSAS/030531/proposal_030531_2-proposal.pdf,2026-08-07,downloaded
Arkansas,DOT,arkansas_dot,030531,030531,,https://media.ark.org/ardot/030531_notice.pdf,030531_notice.pdf,65900,,,,2026-08-07,downloaded
